Card_id,Ssn,Bname,Address,Phone
ID000001,850-47-3740,mark morgan,"5677 Coolidge Street, Plano, TX",(469) 904-1438
ID000002,256-95-4382,eric warren,"9062 Schurz Drive, Dallas, TX",(214) 701-8127
ID000003,256-51-5268,robert harper,"7786 Sachs Place, Plano, TX",(214) 875-5911
ID000004,976-95-2914,donna franklin,"3 Magdeline Terrace, Plano, TX",(214) 800-6127
ID000005,906-63-3588,linda king,"41260 Kedzie Terrace, Dallas, TX",(469) 213-2549
ID000006,206-26-7141,judy holmes,"6583 Manitowish Hill, Dallas, TX",(972) 898-5909
ID000007,898-61-3567,deborah lawrence,"2 Hermina Trail, Dallas, TX",(972) 900-2951
ID000008,644-25-0492,adam johnston,"05671 Norway Maple Court, Dallas, TX",(469) 743-0176
ID000009,678-12-4697,pamela carr,"1848 Fordem Avenue, Richardson, TX",(972) 247-9852
ID000010,562-33-7951,daniel fisher,"400 Cody Lane, Plano, TX",(214) 891-7743
ID000011,441-90-7753,stephen fields,"99 Fair Oaks Drive, Plano, TX",(214) 801-3069
ID000012,305-53-3736,walter ferguson,"814 Sutteridge Point, Dallas, TX",(469) 945-8172
ID000013,634-61-6311,paul cook,"58295 Pierstorff Pass, Richardson, TX",(469) 932-0168
ID000014,661-24-6360,roy smith,"563 Fairview Park, Dallas, TX",(214) 911-4724
ID000015,350-83-8412,michelle gardner,"28309 Paget Court, Plano, TX",(469) 974-2681
ID000016,439-75-5475,george powell,"31 Clove Crossing, Dallas, TX",(972) 885-7291
ID000017,431-61-5822,nicholas hudson,"29 Esker Trail, Dallas, TX",(469) 698-4000
ID000018,879-82-7179,linda henderson,"117 Katie Center, Dallas, TX",(469) 997-0832
ID000019,484-96-1826,gregory fowler,"42454 Hermina Plaza, Dallas, TX",(214) 936-8301
ID000020,562-52-7080,carol sanders,"99600 Moland Way, Dallas, TX",(214) 762-1061
ID000021,876-61-5170,mark hamilton,"76425 Dixon Hill, Dallas, TX",(972) 802-7903
ID000022,139-71-1123,anthony brown,"8691 Walton Terrace, Dallas, TX",(972) 947-3376
ID000023,239-16-6210,james rivera,"4 Golden Leaf Trail, Dallas, TX",(214) 761-8129
ID000024,283-06-7717,tammy cole,"22 Atwood Parkway, Dallas, TX",(469) 292-1882
ID000025,371-60-9878,donald bowman,"196 Golf View Terrace, Dallas, TX",(214) 956-6083
ID000026,438-78-7652,susan gomez,"601 Warbler Point, Richardson, TX",(972) 877-1341
ID000027,893-37-1519,juan martin,"846 Johnson Circle, Dallas, TX",(214) 828-5694
ID000028,434-92-5388,samuel bailey,"1367 Northport Drive, Dallas, TX",(972) 972-2250
ID000029,444-50-9807,paul white,"24775 Melvin Place, Dallas, TX",(469) 459-4087
ID000030,557-41-0386,gregory clark,"259 Porter Avenue, Dallas, TX",(972) 979-5771
ID000031,123-99-1439,steven wood,"852 Darwin Alley, Dallas, TX",(214) 984-2801
ID000032,507-26-2481,jessica fuller,"975 Carpenter Parkway, Dallas, TX",(972) 956-5055
ID000033,258-33-5117,donna greene,"86 Delladonna Lane, Dallas, TX",(469) 969-6535
ID000034,876-94-4518,edward ford,"34 Fulton Circle, Dallas, TX",(214) 869-1555
ID000035,153-20-8011,steve torres,"781 Loeprich Alley, Dallas, TX",(469) 964-7789
ID000036,881-79-3670,alice rivera,"79 Dayton Center, Dallas, TX",(214) 841-3416
ID000037,878-61-5560,jessica freeman,"27997 Loftsgordon Lane, Dallas, TX",(214) 835-4205
ID000038,728-84-4113,kenneth harrison,"25074 Holmberg Park, Richardson, TX",(972) 774-1504
ID000039,792-17-4540,betty austin,"4 Schmedeman Terrace, Dallas, TX",(972) 927-7561
ID000040,433-05-3698,irene gonzalez,"820 Oxford Crossing, Dallas, TX",(214) 865-5203
ID000041,132-21-3747,charles foster,"850 Summerview Crossing, Dallas, TX",(469) 910-6688
ID000042,457-93-9804,gregory perez,"57 Bluejay Pass, Dallas, TX",(972) 433-8549
ID000043,906-16-1095,jose stone,"93 Waywood Parkway, Dallas, TX",(972) 991-8017
ID000044,882-36-6316,patrick moore,"78 Crest Line Road, Dallas, TX",(214) 950-2446
ID000045,728-96-3473,louis lynch,"12197 Kinsman Center, Dallas, TX",(469) 820-4208
ID000046,377-44-1238,matthew snyder,"169 Mayfield Park, Richardson, TX",(469) 855-5018
ID000047,582-62-7069,sara wagner,"24827 Twin Pines Junction, Richardson, TX",(469) 914-5869
ID000048,577-82-2947,louise long,"6 Haas Center, Dallas, TX",(214) 939-0517
ID000049,216-53-6968,judy hamilton,"65364 Mosinee Center, Dallas, TX",(972) 847-2849
ID000050,202-40-3427,evelyn young,"4788 South Street, Dallas, TX",(214) 864-9776
ID000051,897-56-8517,james moore,"9089 Lunder Parkway, Dallas, TX",(469) 830-4056
ID000052,923-84-7867,clarence romero,"68501 Michigan Street, Plano, TX",(972) 982-1803
ID000053,539-63-0143,jennifer smith,"3 Cordelia Terrace, Dallas, TX",(469) 963-5598
ID000054,636-25-1591,jack baker,"01441 Eastlawn Place, Dallas, TX",(972) 909-1277
ID000055,622-93-5915,amy nguyen,"79 Rigney Circle, Dallas, TX",(214) 905-2261
ID000056,823-00-8890,maria stevens,"5348 David Point, Plano, TX",(972) 992-5831
ID000057,534-07-7079,teresa carpenter,"6280 Spenser Lane, Dallas, TX",(972) 908-2593
ID000058,203-68-8563,roy arnold,"7548 Dunning Junction, Richardson, TX",(214) 990-9053
ID000059,457-75-1314,randy stewart,"5004 Emmet Park, Dallas, TX",(469) 422-2991
ID000060,524-73-0400,brenda fernandez,"335 Forster Alley, Dallas, TX",(214) 920-6944
ID000061,344-66-8375,janet thompson,"1 Chinook Place, Plano, TX",(972) 986-8081
ID000062,716-55-3314,billy ortiz,"4 Hintze Court, Dallas, TX",(469) 808-1346
ID000063,869-29-5873,edward hawkins,"96231 Northland Plaza, Dallas, TX",(972) 798-3752
ID000064,218-81-6261,mark morgan,"5 Miller Lane, Dallas, TX",(469) 784-6546
ID000065,913-50-1956,carolyn morgan,"975 Golf View Place, Dallas, TX",(469) 674-8726
ID000066,749-40-8693,tina weaver,"5414 Green Ridge Street, Dallas, TX",(469) 840-0879
ID000067,992-92-6136,eric taylor,"6 Fisk Pass, Dallas, TX",(214) 714-7652
ID000068,378-07-1662,ruth henry,"84 Hermina Street, Dallas, TX",(972) 934-2054
ID000069,388-44-9990,phillip perkins,"84771 Bartelt Trail, Dallas, TX",(214) 917-4226
ID000070,288-23-0361,annie welch,"80 Stuart Road, Dallas, TX",(972) 516-1320
ID000071,509-44-1761,lois hunter,"49 Blaine Lane, Plano, TX",(972) 809-1141
ID000072,704-79-5907,lisa cook,"4412 Lakewood Gardens Plaza, Richardson, TX",(972) 653-9871
ID000073,948-30-8402,kathleen harvey,"13 Grayhawk Hill, Dallas, TX",(469) 547-7753
ID000074,651-57-6305,diane stevens,"0091 American Circle, Dallas, TX",(469) 942-1364
ID000075,908-63-2676,samuel young,"0157 Holmberg Street, Richardson, TX",(469) 918-5729
ID000076,727-25-3782,mark riley,"4900 Thompson Court, Dallas, TX",(972) 767-2036
ID000077,775-32-5935,bonnie ross,"0 Walton Court, Richardson, TX",(972) 766-6908
ID000078,402-35-0549,elizabeth arnold,"952 Sage Pass, Dallas, TX",(214) 967-2424
ID000079,270-86-6950,john walker,"2 Packers Crossing, Dallas, TX",(469) 796-5094
ID000080,982-11-9636,william simmons,"1232 Hayes Crossing, Dallas, TX",(972) 903-7706
ID000081,757-38-5276,lisa kelley,"3718 Twin Pines Way, Dallas, TX",(972) 900-0487
ID000082,980-24-2372,carl larson,"096 Goodland Parkway, Dallas, TX",(469) 550-2228
ID000083,444-73-4007,brandon anderson,"8 Leroy Circle, Dallas, TX",(469) 993-9270
ID000084,278-33-4174,gloria myers,"03 Elmside Center, Plano, TX",(469) 853-3967
ID000085,772-25-9640,daniel freeman,"9584 Elka Place, Dallas, TX",(972) 769-9270
ID000086,232-98-4647,judith mitchell,"2506 Merchant Terrace, Dallas, TX",(972) 902-9669
ID000087,937-38-5159,alan king,"958 Burrows Street, Dallas, TX",(214) 583-5636
ID000088,327-80-3166,steve phillips,"45557 Jana Court, Dallas, TX",(972) 937-9620
ID000089,405-92-7423,brenda butler,"5 Calypso Avenue, Dallas, TX",(972) 892-6177
ID000090,133-37-8900,patricia spencer,"65143 Union Lane, Dallas, TX",(214) 909-9264
ID000091,227-64-6193,larry olson,"50299 Lien Parkway, Dallas, TX",(972) 965-7073
ID000092,272-41-6460,victor sullivan,"272 Milwaukee Point, Plano, TX",(972) 759-4852
ID000093,318-95-0284,kathryn taylor,"2952 Thackeray Point, Dallas, TX",(214) 862-0958
ID000094,729-22-8562,rachel little,"755 Kropf Pass, Dallas, TX",(972) 797-7226
ID000095,783-54-9793,donald richardson,"951 Chive Avenue, Dallas, TX",(972) 934-6450
ID000096,131-52-5777,stephen chapman,"0 Lunder Alley, Dallas, TX",(214) 987-1376
ID000097,335-18-5473,harold richardson,"76743 Burrows Court, Dallas, TX",(469) 899-1924
ID000098,933-15-2171,ernest palmer,"6 Upham Drive, Dallas, TX",(972) 942-2638
